Train: total=51501 -> class0=26021, class1=25480
Test:  total=17166 -> class0=8673, class1=8493
Train class0 ratio = 75.00%
Train class1 ratio = 75.00%
Enter the number of hidden layers: 2
Enter the number of neurons in hidden layer 1: 32
Enter the number of neurons in hidden layer 2: 16
Iter 266   J = 0.65781   Acc_train = 60.4377 %
Iter 267   J = 0.65767   Acc_train = 60.4396 %
Iter 268   J = 0.65754   Acc_train = 60.4493 %
Iter 269   J = 0.6574   Acc_train = 60.461 %
Iter 270   J = 0.65726   Acc_train = 60.4823 %
Iter 271   J = 0.65713   Acc_train = 60.5037 %
Iter 272   J = 0.65699   Acc_train = 60.5173 %
Iter 273   J = 0.65686   Acc_train = 60.5289 %
Iter 274   J = 0.65672   Acc_train = 60.5192 %
Iter 275   J = 0.65659   Acc_train = 60.5445 %
Iter 276   J = 0.65645   Acc_train = 60.558 %
Iter 277   J = 0.65632   Acc_train = 60.5794 %
Iter 278   J = 0.65618   Acc_train = 60.6008 %
Iter 279   J = 0.65605   Acc_train = 60.6144 %
Iter 280   J = 0.65591   Acc_train = 60.6299 %
Iter 281   J = 0.65578   Acc_train = 60.6357 %
Iter 282   J = 0.65564   Acc_train = 60.6493 %
Iter 283   J = 0.65551   Acc_train = 60.6532 %
Iter 284   J = 0.65537   Acc_train = 60.6784 %
Iter 285   J = 0.65524   Acc_train = 60.6843 %
Iter 286   J = 0.65511   Acc_train = 60.694 %
Iter 287   J = 0.65497   Acc_train = 60.6998 %
Iter 288   J = 0.65484   Acc_train = 60.7134 %
Iter 289   J = 0.6547   Acc_train = 60.725 %
Iter 290   J = 0.65457   Acc_train = 60.7464 %
Iter 291   J = 0.65443   Acc_train = 60.7522 %
Iter 292   J = 0.6543   Acc_train = 60.7658 %
Iter 293   J = 0.65417   Acc_train = 60.7716 %
Iter 294   J = 0.65403   Acc_train = 60.7911 %
Iter 295   J = 0.6539   Acc_train = 60.8085 %
Iter 296   J = 0.65377   Acc_train = 60.8221 %
Iter 297   J = 0.65363   Acc_train = 60.8338 %
Iter 298   J = 0.6535   Acc_train = 60.8707 %
Iter 299   J = 0.65336   Acc_train = 60.9056 %
Iter 300   J = 0.65323   Acc_train = 60.9309 %
Iter 301   J = 0.6531   Acc_train = 60.9639 %
Iter 302   J = 0.65296   Acc_train = 60.9813 %
Iter 303   J = 0.65283   Acc_train = 61.0105 %
Iter 304   J = 0.6527   Acc_train = 61.0318 %
Iter 305   J = 0.65257   Acc_train = 61.0551 %
Iter 306   J = 0.65243   Acc_train = 61.0707 %
Iter 307   J = 0.6523   Acc_train = 61.0745 %
Iter 308   J = 0.65217   Acc_train = 61.0862 %
Iter 309   J = 0.65203   Acc_train = 61.1076 %
Iter 310   J = 0.6519   Acc_train = 61.1289 %
Iter 311   J = 0.65177   Acc_train = 61.1367 %
Iter 312   J = 0.65164   Acc_train = 61.1503 %
Iter 313   J = 0.6515   Acc_train = 61.1736 %
